task,variant,metric,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason
hia_hou,no_seedbag_single_seed,AUROC,max,1,0.9456790123456792,,0.993,-0.0473209876543209,-0.0486009876543209,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.9958333333333332,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/hia_hou/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
ld50_zhu,no_seedbag_single_seed,MAE,min,1,0.6218126123432216,,0.552,-0.0698126123432215,-0.0187416123432215,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.5385813439821667,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/ld50_zhu/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
lipophilicity_astrazeneca,no_seedbag_single_seed,MAE,min,1,0.5572363431113107,,0.456,-0.1012363431113106,-0.0843413431113106,False,deep_kpgt_ept_ridge_linear,KPGT+EPT embeddings + target-standardized Ridge/linear head,MAE,0.6069383616220383,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ept_ridge_linear/lipophilicity_astrazeneca/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,False,True,False,False,
pgp_broccatelli,no_seedbag_single_seed,AUROC,max,1,0.9273527059450812,,0.938,-0.0106472940549187,-0.0110102940549187,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9333512496640688,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/pgp_broccatelli/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
ppbr_az,no_seedbag_single_seed,MAE,min,1,9.118758898412606,,7.44,-1.678758898412606,-1.788141898412606,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,11.9011795927205,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/ppbr_az/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
solubility_aqsoldb,no_seedbag_single_seed,MAE,min,1,0.8359848801021843,,0.741,-0.0949848801021843,-0.0975418801021843,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,1.086698693561003,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/solubility_aqsoldb/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
vdss_lombardo,no_seedbag_single_seed,Spearman,max,1,0.4798305110695061,,0.713,-0.2331694889304938,-0.1811644889304938,False,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,Spearman,0.4655315131486822,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/vdss_lombardo/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
ames,no_task_adaptive_selection,AUROC,max,5,0.8452387945720495,0.0012877146454772,0.871,-0.0257612054279504,-0.0267062054279504,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.766546947477965,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/ames/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
bbb_martins,no_task_adaptive_selection,AUROC,max,5,0.9048076923076924,0.0020873298602146,0.924,-0.0191923076923077,-0.0229713076923077,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9165050956997266,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/bbb_martins/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
bioavailability_ma,no_task_adaptive_selection,AUROC,max,5,0.6468905886265381,0.0021085290966607,0.942,-0.2951094113734618,-0.0753574113734618,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.7171650055370986,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/bioavailability_ma/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
caco2_wang,no_task_adaptive_selection,MAE,min,5,0.3653081944549426,0.022378045376126,0.256,-0.1093081944549426,-0.0816611944549426,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.3888879240827018,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/caco2_wang/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
clearance_hepatocyte_az,no_task_adaptive_selection,Spearman,max,5,0.2003195287770167,0.0182003793867156,0.536,-0.3356804712229833,-0.3517204712229832,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4421555810131842,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_hepatocyte_az/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
clearance_microsome_az,no_task_adaptive_selection,Spearman,max,5,0.5954577077913342,0.010876724540037,0.63,-0.0345422922086657,-0.0473562922086657,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.462867713390107,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_microsome_az/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
cyp2c9_substrate_carbonmangels,no_task_adaptive_selection,AUPRC,max,5,0.4317527297592513,0.0189350356041419,0.474,-0.0422472702407486,-0.0116172702407486,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUPRC,0.3901324408377309,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp2c9_substrate_carbonmangels/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
cyp2c9_veith,no_task_adaptive_selection,AUPRC,max,5,0.7514518581428009,0.0026764089122952,0.859,-0.107548141857199,-0.0391341418571991,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUPRC,0.7779011089446939,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp2c9_veith/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
cyp2d6_substrate_carbonmangels,no_task_adaptive_selection,AUPRC,max,5,0.6895371829847047,0.0098959213690674,0.736,-0.0464628170152953,-0.0579938170152952,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUPRC,0.5351094847256378,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp2d6_substrate_carbonmangels/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
cyp2d6_veith,no_task_adaptive_selection,AUPRC,max,5,0.6883401136054271,0.0035028651929721,0.79,-0.1016598863945729,-0.0308318863945729,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUPRC,0.7069614031405871,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp2d6_veith/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
cyp3a4_substrate_carbonmangels,no_task_adaptive_selection,AUROC,max,5,0.6683092224231464,0.0057907669069584,0.667,0.0013092224231463,-0.0569397775768536,True,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.7125448028673835,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp3a4_substrate_carbonmangels/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
cyp3a4_veith,no_task_adaptive_selection,AUPRC,max,5,0.8598983556856856,0.0010748184248036,0.916,-0.0561016443143144,-0.0242226443143144,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUPRC,0.8747175553057407,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp3a4_veith/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
dili,no_task_adaptive_selection,AUROC,max,5,0.903304347826087,0.0100922025338811,0.956,-0.0526956521739129,-0.0053046521739129,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.8338461538461539,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/dili/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
half_life_obach,no_task_adaptive_selection,Spearman,max,5,0.3850970831788019,0.0292139793668846,0.576,-0.190902916821198,-0.106292916821198,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4790325048419396,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/half_life_obach/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
herg,no_task_adaptive_selection,AUROC,max,5,0.8164948453608247,0.0092138393635446,0.88,-0.0635051546391752,-0.0468631546391752,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.878968253968254,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/herg/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
hia_hou,no_task_adaptive_selection,AUROC,max,5,0.9700411522633744,0.005360862245097,0.993,-0.0229588477366254,-0.0242388477366255,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9908333333333332,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/hia_hou/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
ld50_zhu,no_task_adaptive_selection,MAE,min,5,0.6192784960295092,0.0028953504959784,0.552,-0.0672784960295092,-0.0162074960295092,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.5417971992492676,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/ld50_zhu/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
lipophilicity_astrazeneca,no_task_adaptive_selection,MAE,min,5,0.6003640692421202,0.0040253661808435,0.456,-0.1443640692421201,-0.1274690692421201,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.6590937401126723,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/lipophilicity_astrazeneca/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
pgp_broccatelli,no_task_adaptive_selection,AUROC,max,5,0.929285523860304,0.0023260368390582,0.938,-0.008714476139696,-0.009077476139696,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9364149422198336,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/pgp_broccatelli/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
ppbr_az,no_task_adaptive_selection,MAE,min,5,9.195011191161672,0.1124528344322945,7.44,-1.755011191161672,-1.864394191161672,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,11.90576154778593,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/ppbr_az/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
solubility_aqsoldb,no_task_adaptive_selection,MAE,min,5,0.8382019154940069,0.0030341993428967,0.741,-0.0972019154940069,-0.0997589154940069,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,1.084091611739284,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/solubility_aqsoldb/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
vdss_lombardo,no_task_adaptive_selection,Spearman,max,5,0.4196383845497954,0.0242071053173631,0.713,-0.2933616154502045,-0.2413566154502046,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4363954938887275,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/vdss_lombardo/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,
